feature,accuracy,precision,recall,specificity,f1-score,AuROC
W-MemOffsetMode.MIN_REF-5000/rf/None,0.613906810036,0.824534942182,0.843468975469,0.73377039627,0.826845521993,0.78861968587
W-MemOffsetMode.MIN_REF-5000/rf/std,0.619487179487,0.796525387237,0.803987240829,0.694877344877,0.78607804513,0.749432292853
W-MemOffsetMode.SUM_REF_ASC-5000/svm/None,0.624881033092,0.61391817333,0.932962962963,0.025,0.738042918317,0.478981481481
W-MemOffsetMode.SUM_REF_ASC-5000/svm/std,0.623520966789,0.617701149425,0.974901960784,0.0,0.753611851802,0.487450980392
W-MemOffsetMode.SUM_REF_ASC-5000/rf/None,0.618333540116,0.855303030303,0.530147058824,0.859415584416,0.647050276083,0.69478132162
W-MemOffsetMode.SUM_REF_ASC-5000/rf/std,0.626164872717,0.777777777778,0.527368421053,0.715151515152,0.615824175824,0.621259968102
RW-MemOffsetMode.MEAN-2000/svm/None,0.565906101571,0.572215320911,0.90361485826,0.117728937729,0.697249417249,0.510671897994
RW-MemOffsetMode.MEAN-2000/svm/std,0.561060961994,0.570946730703,0.951393939394,0.083579537078,0.713347084228,0.517486738236
RW-MemOffsetMode.MEAN-2000/rf/None,0.567889568438,0.778945981555,0.709334369334,0.74847805789,0.73868168544,0.728906213612
RW-MemOffsetMode.MEAN-2000/rf/std,0.551036924891,0.78119047619,0.666978542298,0.765495289025,0.71184275826,0.716236915661
RW-MemOffsetMode.MAX_REF-5000/svm/None,0.589435710488,0.560160818713,0.766222222222,0.2,0.601292278502,0.483111111111
RW-MemOffsetMode.MAX_REF-5000/svm/std,0.591221978281,0.590445643504,0.972307692308,0.025,0.729531143014,0.498653846154
RW-MemOffsetMode.MAX_REF-5000/rf/None,0.588978334327,0.80291603821,0.528306878307,0.816842105263,0.631354445013,0.672574491785
RW-MemOffsetMode.MAX_REF-5000/rf/std,0.592720872885,0.785485103132,0.527973058222,0.783203463203,0.623674614306,0.655588260713
RW-MemOffsetMode.SUM_REF_ASC-1000/svm/None,0.501202961945,0.489627134464,0.904382080244,0.0529282977559,0.631403319444,0.478655189
RW-MemOffsetMode.SUM_REF_ASC-1000/svm/std,0.49761205108,0.486928017719,0.958541458541,0.0,0.645240753231,0.479270729271
RW-MemOffsetMode.SUM_REF_ASC-1000/rf/None,0.500762527233,0.725048637069,0.663621009044,0.749566610925,0.690060606061,0.706593809985
RW-MemOffsetMode.SUM_REF_ASC-1000/rf/std,0.499659108088,0.745196324144,0.707580335706,0.752867132867,0.720131752306,0.730223734287
RW-MemOffsetMode.SUM_REF_ASC-2000/svm/None,0.555216464883,0.563423889306,0.933434343434,0.0934097275274,0.700063246446,0.513422035481
RW-MemOffsetMode.SUM_REF_ASC-2000/svm/std,0.557196019265,0.56794862089,0.90851880146,0.120975232198,0.698593263228,0.514747016829
RW-MemOffsetMode.SUM_REF_ASC-2000/rf/None,0.564802098719,0.829923273657,0.67265830721,0.814795783926,0.732577383155,0.743727045568
RW-MemOffsetMode.SUM_REF_ASC-2000/rf/std,0.571339944063,0.792966861598,0.740970493769,0.770110979847,0.762161744558,0.755540736808
RW-MemOffsetMode.MIN_REF-2000/svm/None,0.559079515647,0.643175709308,0.794519056261,0.30871657754,0.651721195471,0.551617816901
RW-MemOffsetMode.MIN_REF-2000/svm/std,0.565656565657,0.570557401255,0.968045112782,0.0505764411028,0.716429486007,0.509310776942
RW-MemOffsetMode.MIN_REF-2000/rf/None,0.563282392051,0.76382529751,0.605380970077,0.759232026144,0.670571455614,0.68230649811
RW-MemOffsetMode.MIN_REF-2000/rf/std,0.560557379177,0.75767291532,0.658408005787,0.708984582669,0.695580707067,0.683696294228
W-MemOffsetMode.MAX_REF-5000/svm/None,0.607725274725,0.546588522589,0.686623376623,0.197619047619,0.554608835672,0.442121212121
W-MemOffsetMode.MAX_REF-5000/svm/std,0.620813222537,0.6565,0.989473684211,0.154141414141,0.787720930233,0.571807549176
W-MemOffsetMode.MAX_REF-5000/rf/None,0.617531825485,0.840957172343,0.878034792865,0.741904761905,0.846827157567,0.809969777385
W-MemOffsetMode.MAX_REF-5000/rf/std,0.626475448911,0.791212121212,0.799368379635,0.650793650794,0.791069631417,0.725081015214
W-MemOffsetMode.SUM_REF_ASC-1000/svm/None,0.564881136951,0.560281548517,0.913499658237,0.0705627705628,0.692552803833,0.4920312144
W-MemOffsetMode.SUM_REF_ASC-1000/svm/std,0.558402098158,0.532555529577,0.875417793496,0.0272727272727,0.660746166445,0.451345260384
W-MemOffsetMode.SUM_REF_ASC-1000/rf/None,0.559111024456,0.648832926333,0.615604816639,0.522503049067,0.593593120827,0.569053932853
W-MemOffsetMode.SUM_REF_ASC-1000/rf/std,0.558257076801,0.723511118934,0.545533216783,0.725007166746,0.59425229741,0.635270191765
W-MemOffsetMode.SUM_REF_ASC-2000/svm/None,0.581688723463,0.578478379858,0.889732919255,0.0951262626263,0.696732324279,0.49242959094
W-MemOffsetMode.SUM_REF_ASC-2000/svm/std,0.576821011806,0.578175851467,0.980952380952,0.0258333333333,0.726108374384,0.503392857143
W-MemOffsetMode.SUM_REF_ASC-2000/rf/None,0.576155083655,0.820014367816,0.640331598226,0.70126984127,0.675957646195,0.670800719748
W-MemOffsetMode.SUM_REF_ASC-2000/rf/std,0.572152503294,0.859738790621,0.481368792728,0.898464713821,0.613965599618,0.689916753274
RW-MemOffsetMode.MAX_REF-2000/svm/None,0.56424969988,0.597302921168,0.871428571429,0.165217391304,0.673562669215,0.518322981366
RW-MemOffsetMode.MAX_REF-2000/svm/std,0.564287504097,0.560881141552,0.986057692308,0.0,0.712383049343,0.493028846154
RW-MemOffsetMode.MAX_REF-2000/rf/None,0.564516980278,0.784492753623,0.683604247604,0.749937343358,0.728702787399,0.716770795481
RW-MemOffsetMode.MAX_REF-2000/rf/std,0.563394359228,0.815861344538,0.55934889698,0.828547613377,0.661541756579,0.693948255179
R-MemOffsetMode.MIN_REF-2000/svm/None,0.59730326521,0.696899224806,0.623076923077,0.388888888889,0.493480833918,0.505982905983
R-MemOffsetMode.MIN_REF-2000/svm/std,0.587591826737,0.603964103259,0.949320745044,0.110833333333,0.737516622512,0.530077039189
R-MemOffsetMode.MIN_REF-2000/rf/None,0.588349418244,0.728682126697,0.583522727273,0.689673202614,0.643028484673,0.636597964944
R-MemOffsetMode.MIN_REF-2000/rf/std,0.59641014683,0.708340042024,0.641136536995,0.604701616466,0.664883175801,0.62291907673
W-MemOffsetMode.MEAN-2000/svm/None,0.578334410687,0.559368191721,0.798039215686,0.154640522876,0.654124919175,0.476339869281
W-MemOffsetMode.MEAN-2000/svm/std,0.573348997494,0.576009253904,0.986666666667,0.0242647058824,0.726433239963,0.505465686275
W-MemOffsetMode.MEAN-2000/rf/None,0.580259880836,0.898412698413,0.450235397453,0.931774891775,0.58748523612,0.691005144614
W-MemOffsetMode.MEAN-2000/rf/std,0.580172788888,0.792476190476,0.571915955898,0.784761904762,0.654411764706,0.67833893033
R-MemOffsetMode.MEAN-5000/svm/None,0.616236044657,0.605712365591,0.918031620553,0.0377777777778,0.728451169174,0.477904699166
R-MemOffsetMode.MEAN-5000/svm/std,0.614002781583,0.609517374517,0.981140350877,0.0,0.748421955701,0.490570175439
R-MemOffsetMode.MEAN-5000/rf/None,0.600331825038,0.784252784253,0.595726143422,0.755674457122,0.670040400954,0.675700300272
R-MemOffsetMode.MEAN-5000/rf/std,0.609267399267,0.798591800357,0.647172161172,0.737380952381,0.710066855911,0.692276556777
R-MemOffsetMode.MAX_REF-5000/svm/None,0.607949763415,0.593664049129,0.933333333333,0.02,0.718942729228,0.476666666667
R-MemOffsetMode.MAX_REF-5000/svm/std,0.610977878331,0.607651475004,0.985185185185,0.0,0.748742726068,0.492592592593
R-MemOffsetMode.MAX_REF-5000/rf/None,0.627638887605,0.816119845067,0.645977443609,0.726662226662,0.700231494161,0.686319835136
R-MemOffsetMode.MAX_REF-5000/rf/std,0.608473945409,0.74837155598,0.725734006734,0.612222222222,0.708413868414,0.668978114478
RW-MemOffsetMode.MIN_REF-5000/svm/None,0.592617046819,0.690980392157,0.728181818182,0.374736842105,0.608438818565,0.551459330144
RW-MemOffsetMode.MIN_REF-5000/svm/std,0.581833137485,0.576484355753,0.942182662539,0.0378968253968,0.711487796773,0.490039743968
RW-MemOffsetMode.MIN_REF-5000/rf/None,0.589356019665,0.782605363985,0.598653471285,0.75044375645,0.66978159541,0.674548613867
RW-MemOffsetMode.MIN_REF-5000/rf/std,0.591815914358,0.742878787879,0.619815652757,0.683893557423,0.66887508048,0.65185460509
RW-MemOffsetMode.MEAN-5000/svm/None,0.590881499184,0.598930522773,0.923376375722,0.103333333333,0.725808998236,0.513354854528
RW-MemOffsetMode.MEAN-5000/svm/std,0.591024490341,0.584132598449,0.973913043478,0.0,0.727874157904,0.486956521739
RW-MemOffsetMode.MEAN-5000/rf/None,0.591875308581,0.881944444444,0.600106630212,0.872564935065,0.704196701886,0.736335782638
RW-MemOffsetMode.MEAN-5000/rf/std,0.593373819163,0.794743755942,0.644234226321,0.760266122766,0.701598980729,0.702250174544
